box_james_bond	475
	7490	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office on
	7517	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office on
	8238	James Bond Taklukkan Puncak Box Office Lewat &#39;Skyfall&#39; http://bit
	8905	Skyfall: James Bond soars to box office record: James Bond can don the tuxedo and break out the Dom Perignon aft
	8935	Skyfall: James Bond soars to box office record: James Bond can don the tuxedo and break out the Dom Perignon aft
	9085	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening 
	9086	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for 
	9100	James Bond flick &quot;Skyfall&quot; set a franchise record at the box office
	9104	Skyfall Tops US Box Office - The new James Bond movie Skyfall has gone straight to the top of the US box office on i
	9133	James Bond News #007 #Skyfall: Skyfall Dominates the Box Office http://jamesbondauction
	9162	James Bond News #007 #Skyfall: Skyfall Dominates the Box Office http://jamesbondauction
	10828	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for a 007 m
	10829	Gaurdian: Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening f
	10830	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for a 007 m
	10832	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever ope
	11152	Skyfall: James Bond soars to box office record http://dlvr
	11178	Skyfall: James Bond soars to box office record http://dlvr
	11199	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for a 007 m
	11224	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for a 007 m
	11598	Skyfall: James Bond soars to box office record Mon, 12 Nov 2012 16:31:11 +0530 http://www
	11829	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	11973	James Bond sets records in the box office with skyfall

	12194	&#39;Skyfall&#39; fetches £55m in new US box office record for James Bond franchise via @Telegraph http://soc
	12212	James Bond - SKYFALL Box Office Results
	12219	&#39;Skyfall&#39; fetches £55m in new US box office record for James Bond franchise via @Telegraph http://soc
	12236	James Bond - SKYFALL Box Office Results
	12243	&#39;Skyfall&#39; fetches £55m in new US box office record for James Bond franchise via @Telegraph http://soc
	12261	James Bond - SKYFALL Box Office Results
	12282	Skyfall: James Bond soars to box office record — http://ibnlive
	12301	Skyfall: James Bond soars to box office record — http://ibnlive
	12338	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	12366	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	12414	Skyfall sets James Bond film box office record in U
	12757	Skyfall: James Bond soars to box office record — http://ibnlive
	12786	Skyfall: James Bond soars to box office record — http://ibnlive
	13129	James Bond soars to box office record with &#39;Skyfall&#39; http://lnkd
